id,title,author,day,genre,story,platform
373,무지개다리 파수꾼,이서,월,"드라마, 반려동물, 동물","돈과 성공만을 전부로 알던 유명 수의사 한철은, 어느 날 동물들의 소리를 들을 수 있게 되는데...",다음 웹툰
374,서천화원,마하로/곡,월,"로맨스, 궁, 썸",자신의 운명을 스스로 개척하기 위해 궁을 벗어난 공주님의 좌충우돌 모험 로맨스,다음 웹툰
375,봄날의 팔광,우표,월,"로맨스, 판타지","'해와 달' 속 달님, 천방지축 선녀와 지상 최대 싸가지 남자가 펼치는 판타지 로맨스!",다음 웹툰
376,저녁 같이 드실래요?,박시인,"월, 화","로맨스, 음식",나에게도 꽃미남 밥 친구를! 음식에 얽힌 두 남녀의 비밀스런  이야기,다음 웹툰
377,뱀파이어님의 대리식사,멜리/웬즈데이,월,"로맨스, 판타지, 뱀파이어",대학생 시영이와 외로운 뱀파이어의 심쿵 먹방 동거생활!,다음 웹툰
378,현세이의 보이는 라디오,이제환/부족,월,"드라마, 일상, 질병",스트리머 현세이의 일상 소통 이야기,다음 웹툰
379,강호표사,OZi,월,"무협, 액션, 무림",칼퇴를 꿈꾸는 속물 표사 무영! 하지만 사부님의 희망사항은? '협객이 되어라!',다음 웹툰
380,사귄 건 아닌데,민홍,월,"로맨스, 드라마, 첫사랑","스무 살, 이루지 못했던 첫사랑과 스물아홉에 다시 만났다. 이번엔 그 때와 다를 수 있을까?",다음 웹툰
381,하나밖에 안 보여!,샌도,월,"로맨스, 학원, 학교생활",햇살 같은 하나와 음침 미소년 창욱이의 친구 만들기 프로젝트!,다음 웹툰
382,메모리스트,재후,"월, 목","미스터리, 스릴러, 기억",기억을 읽는 초능력 형사 '동백'. 미스터리한 연쇄 살인사건을 맞닥뜨리다!,다음 웹툰
383,쓰레기 머학생,수레기,"월, 금","일상, 학원, 대학생",다소 쓰레기 같은 대학생 작가의 일상을 다룬 만화. 수학을 싫어합니다.,다음 웹툰
384,어름치,박세가,월,"코믹, 드라마, 아르바이트",강원도 산골에서 펼쳐지는 뜨거운 노동 이야기,다음 웹툰
385,식귀,깡/부랑,월,"액션, 판타지, 저주",원호는 지하철에서 의문의 남성과 마주친 후 식귀가 된다.,다음 웹툰
386,찬란한 액션 유치원,탐이부/김동찬,"월, 토","코믹, 액션, 병맛",찬란하지만 결코 유치하지 않은 아이들의 우정과 평화의 유년 드라마 (※본격교육웹툰),다음 웹툰
387,흑우,유베테/늙슬,월,"스릴러, 드라마, 주식","탐욕을 향한 호구들의 몸부림, 그리고 펼쳐지는 대 주식사기극",다음 웹툰
388,타원을 그리는 법,섬멍,월,"드라마, 미스터리, GL","너무 다른 두 사람의  3년, 민성의 비밀은 두 사람을 예기치 못 한 사건에 휘말리게 한다.",다음 웹툰
389,교수님을 빚는 중,서아,월,"로맨스, 드라마, 캠퍼스","내가 가르치는 보컬수업에, 우리 과 교수님이 수강생으로 들어왔다.",다음 웹툰
390,조류공포증,조눈/리도,월,"스릴러, 공포, 돌연변이",조류공포증이 있는 철민이 돌연변이 새들과 하르퓌아로부터 가족을 지키는 이야기,다음 웹툰
391,이대로 멈출 순 없다,자룡/골왕,월,"코믹, 학원, 학교생활"," 사상 최악의 막장 쓰레기 문제아 학교, 정문여상에서 살아남기!",다음 웹툰
392,그라티아,상민/기현,월,"판타지, 액션, 엑소시스트",엑소시스트가 되고자 하는 소녀의 이야기,다음 웹툰
393,노동본색,지뚱,월,"액션, 판타지, 노동자",망해버린 세상. 이제는 3D 업종의 전성시대가 되었다.,다음 웹툰
394,NR 뉴월드,전상영,월,"액션, 판타지, 갱스터","SF액션 활극, 쑈오리 라마가 세상을 바꾼다! ",다음 웹툰
395,일단 질러! 질렐루야,yami ,월,"코믹, 일상, 쇼핑",소소한 생활지름의 세계로 오라~ ,다음 웹툰
396,트레이스,네스티캣,월,"판타지, 액션, 초능력","트레이스, 트러블, 인간.. 그들의 생존을 건 싸움",다음 웹툰
397,오무라이스 잼잼,조경규,월,"일상, 코믹, 음식",한끼 한끼 최선을 다 해 먹는 조경규 작가의 맛나는 세상!,다음 웹툰
398,신랑이 사라졌다,방자,화,"로맨스, 드라마, 연예인",사라진(?) 신랑을 찾기 위한 톱스타 진사랑의 고군분투 사랑이야기,다음 웹툰
399,화목한 가족,서늬,화,"드라마, 학원, 가족","의미 없는 삶에 지친 고3 영진, 비밀이 많아 보이는  전학생 유은과의 만남으로 변화가 생긴 삶",다음 웹툰
400,악마의 편집,건초,화,"스릴러, 공포, 살인사건",유명 인터넷 방송인과 그 편집자를 둘러싼 끔찍한 살인사건... 과연 진실은?,다음 웹툰
401,대선비쇼에 어서오세요!,아람,화,"드라마, 코믹, 음식",유도선수를 그만두고 졸업을 기다리던 황희는 PD지망생 요한을 만나 방송을 찍게 된다!,다음 웹툰
402,사랑하는 존재,향유 크리에이티브,화,"드라마, 로맨스, 사랑",심장 이식 수술을 받은 소유. 이식받은 심장이 같은 반 남자애 아빠의 심장이라고?,다음 웹툰
403,비밀 사이,맥퀸스튜디오,화,"로맨스, 드라마, BL",미웠던 사람이 좋아지는 건 한 순간! 두근두근 회사 로맨스 시작?!,다음 웹툰
404,아싸클럽,랑쓰,화,"로맨스, 드라마, 사랑",'친구 없는 사람만 가입 가능!'  수상한 동아리 아싸클럽의 성장 스토리.,다음 웹툰
405,너를 만나다,다노아,화,"로맨스, 학원, ",어느 날 우연히 너를 만나 변화하는 나의 이야기,다음 웹툰
406,뱀파이어 신드롬,이충호,화,"액션, 판타지, 뱀파이어","뱀파이어의 피 묻은 손을 잡던 그 순간, 우리들의 복수가 시작됐다.",다음 웹툰
407,화폐개혁,윤필/임정호,화,"드라마, 스릴러, 돈","최하층 밑바닥 삶 유일한, 그를 찾아온 1조 원의 상속 기회와 화.폐.개.혁!",다음 웹툰
408,이태원 클라쓰,광진,"화, 금","드라마, 청춘, 술","각자의 가치관이 어우러지는 이 곳, '이태원'. 이 거리를 살아가는 그들의 이야기",다음 웹툰
409,그녀의 앵무새,금계수,화,"로맨스, 드라마, 청춘",현실적인 삶을 사는 은행원 '진아'와 이상적인 삶을 추구하는 정체불명 앵무새 '호두'. 두 상극이 만나며 벌어지는 이야기.,다음 웹툰
410,닥터 파인의 하루,김용회,화,"드라마, 판타지, 로맨스, 삶",망자의 영혼을 수거하는 남자가 자기와 같은 일을 하는 옆 구역의 여자를 만나 펼쳐지는 삶과 사랑의 이야기,다음 웹툰
411,해오와 사라,송송이,화,"드라마, 판타지, 인어",제주도 우도의 푸른 바다. 해녀와 인어의 특별한 인연이 시작된다.,다음 웹툰
412,"신성한, 이혼",강태경,화,"드라마, 지식, 결혼생활","결혼은 아름답고 이혼은 치열하다. 누구나 지는 싸움, 이혼 소송.",다음 웹툰
413,멸종인간,디디,화,"공포, 스릴러, 생존","<관찰인간>, <생존인간>에 이은 세 번째 이야기. 인류는 멸종당하지 않기 위해 고군분투한다.",다음 웹툰
414,우리집이거든요!,공룡,화,"로맨스, 드라마, 설렘",극한인생 서은우에게 찾아 온 거액의 상속! 그리고 상속 예정인 집에 살고 있는 정체모를 그 녀석들!,다음 웹툰
415,학교대표,동훈,화,"스포츠, 학원, 축구",진화된 축구 천재들의 네게(Nege) 도전기.,다음 웹툰
416,미래의 너에게,제경/정은,화,"로맨스, 판타지, ",나도 모르는 미래의 남자친구를 미리 보게 된다면..? 미래를 보는 소녀의 학원 로맨스,다음 웹툰
417,아비무쌍,노경찬/이현석,화,"무협, 판타지, 무장",하늘의 뜻을 아니 아비는 무쌍이다.,다음 웹툰
418,지옥사원,네온비/캐러멜,화,"드라마, 판타지, 악마",인간이 된 악마의 사회 적응기! 그리고 그를 위협하는 존재들.,다음 웹툰
419,왕 그리고 황제,정이리이리,화,"드라마, 코믹, 역사","영혼이 바뀐 고종과 태종, 그들은 조선을 바꿀 수 있을까?",다음 웹툰
420,인간을 먹는 성,김만호,화,"판타지, 드라마, 모험",한번 들어가면 누구도 탈출할 수 없는 의문의 성. 그 성의 비밀은 무엇인가,다음 웹툰
421,딩스뚱스,딩스,화,"일상, 코믹, 생활툰","토종 한국인 딩스와 뚱스, 타지에서 맨 땅에 헤딩하기!",다음 웹툰
422,저승사자 온라인,쑨,수,"액션, 판타지, 게임","죽은 소녀의 영혼을 인도하러 온 저승사자, 그런데 게임 속에 갇히다?!",다음 웹툰
423,승리호,홍작가,수,"드라마, 액션, 우주",우주 청소선 승리호. 우연히 수거한 우주 쓰레기로 인해 거대 기업 uts의 표적이 된다.,다음 웹툰
424,CELL,강형규,수,"학원, 액션, 초능력",어느 날 생긴 예측불가의 초능력. 희망 없는 청춘에게 쓸모 없는 힘이 생겼다!,다음 웹툰
425,아버지의 복수는 끝이 없어라,강태진,수,"스릴러, 드라마, 복수",할머니 집에서 찾아낸 아버지. 30년 간 묻혀있던 비극이 복수로 깨어났다.,다음 웹툰
426,노력의 卍(만),행자,수,"판타지, 액션, 배틀","세상을 지배하는 천중궐, 최정상까지 노오력만으로 올라가는 여정",다음 웹툰
427,죽어도! 치우,만백,수,"액션, 판타지, 전투",죽어도! 죽지 않고 더 강해지는 치우의 성장 모험기!,다음 웹툰
428,용의주도 황비,자주/산맡,수,"로맨스, 판타지, 빙의",세계관 최강자 백룡… 폭군의 아내가 되다?,다음 웹툰
429,금수친구들,짤태식,"수, 토","코믹, 일상, 동물",가난한 나무꾼과 사고뭉치 동물들이 만났다! 조선시대 집사의 처절하고 유쾌한 집사 라이프,다음 웹툰
430,설공찬전,YSE,수,"로맨스, 드라마, BL",호러 소설 작가 설공찬이 우연히 마주친 아랫집 남자와 겪게 되는 미스터리한 로맨스,다음 웹툰
431,말하지 말까,마루,수,"로맨스, 드라마, 첫사랑",첫사랑의 향기를 다시 기억하고 싶은 ‘한마리'와 향기 나는 남자 ‘길은수'가 서로 필요로 하는 이야기.,다음 웹툰
432,하나하나둘,고은,수,"로맨스, 드라마, 타임슬립",미래의 남편이 유령이 되어 나타났다?! 근데 나와의 과거를 기억 못 한다고?,다음 웹툰
433,콜로세움,Meen/한큰빛,수,"액션, 스릴러, 킬러",압도적이고 거대한 그들의 힘과 부딪히는 특별한 한 명,다음 웹툰
434,키스해주세요,한지혜/산다하,수,"로맨스, 드라마, ",키스 못하면 죽는 병에 걸린 남자의 생존을 위한 비밀 키스 계약,다음 웹툰
435,우리가 사랑하는 방법,기비,수,"로맨스, 짝사랑, 아이돌",그녀의 마음을 얻기 위해 아이돌 덕질에 뛰어들다!,다음 웹툰
436,우리학교 김선생님,복슬,수,"드라마, 로맨스, 선생님",초보 교사 수지와 완벽한 교사 선우. 너무 다른 두 명의 김 선생님 이야기.,다음 웹툰
437,후크,나진수,수,"판타지, 액션, 혁명",마법사와 마도 공학자들의 끝없는 전쟁. 몰락한 네버랜딩을 구하기 위한 혁명이 시작된다.,다음 웹툰
438,쌍갑포차,배혜수,수,"드라마, 판타지, 음식","<2017 대한민국 만화대상> 우수상 수상. 늦은 밤, 낯선 곳에 나타난 의문의 포장마차. 그 곳에서 일어나는 이야기들",다음 웹툰
439,수의 계절,이준,수,"판타지, 로맨스, 초능력","수없이 반복되는 계절, 하지만 그가 있던 단 한 번의 계절",다음 웹툰
440,블랙 베히모스,케이지콘,수,"판타지, 액션, 전투",탈리스만이 되기 위한 시험에 도전하는 주인공의 힘겨운 전투,다음 웹툰
441,창백한 말,추혜연,수,"판타지, 로맨스, 마녀","1835년 프랑스, 마녀로 불리던 소녀의 핏빛 운명",다음 웹툰
442,백의사자,체사,목,"판타지, 저승, 귀신","세상으로부터 잊혀진 소년에게 붉은 사자가 손을 내밀었을 때, 모든 것이 시작되었다.",다음 웹툰
443,시간이 머문 집,헤고,목,"판타지, 액션, 용사",학대 받아온 소녀. 아무것도 없는 세상에서 살아온 성격 더러운 아저씨와 만나다.,다음 웹툰
444,마이셀프,기행,목,"공포, 스릴러, 도플갱어",인기 스트리머지만 남모를 아픔을 가진 예림. 여러 위협 속에서 나를 찾기 위한 사투가 시작된다.,다음 웹툰
445,록산,백작,목,"미스터리, 스릴러, 로맨스","어머니의 죽음과 함께 찾아온 여자, 록산은 막시밀리안의 삶을 통째로 흔들어 놓기 시작한다.",다음 웹툰
446,논현동 장사꾼,김영현/아론/구김,목,"드라마, 장사, 요리",장사를 4번이나 말아먹었다. 그런데 이 괴팍한 할머니가 장사의 신이라고? 제발 제자로 받아주세요!,다음 웹툰
447,중고거래,주명,목,"스릴러, 미스터리, 살인사건",극한의 이득충 '되팔러' 이준! 중고거래 꿀매로 구매한 택배가 도착하고 기쁜 마음으로 택배 상자를 열어보지만...,다음 웹툰
448,고교호구왕,김구일/슥수,목,"스포츠, 학원, 왕따",만인의 호구! 왕따 ‘한결’이 검도의 신을 만난 후 검도선수로 성장하는 이야기,다음 웹툰
449,스타의 학교생활,올챙구리,목,"학원, 로맨스, 학교생활","10대 스타들의 리얼 관찰 예능쇼, 그런데 국민 비호감 출연?!",다음 웹툰
450,옆집남자,임수영,목,"로맨스, 드라마, 연예인",서른 살. 청춘의 한 가운데에 놓인 작가 지망생의 생계형 로맨스.,다음 웹툰
451,신의 태궁,해소금,목,"로맨스, 판타지, 동양","신의 아이를 낳아 기르는 여인과, 그를 사랑한 도깨비의 이야기",다음 웹툰
452,재벌과의 인터뷰,우다,목,"로맨스, 드라마, 재벌",재벌 납치 감금물 작가가 재벌남의 은인이 되었다?!,다음 웹툰
453,이담,창/정두,목,"스릴러, 드라마, 살인사건",현실에서 도망치고 싶은 죄 많은 소녀의 다음 이야기,다음 웹툰
454,샬롯에게는 다섯 명의 제자가 있다,용용,목,"판타지, 로맨스, 마법",세상을 구한 대마법사. 죽음에서 돌아와 새로운 인생을 살려는데 제자들이 이상하다.,다음 웹툰
455,특별직,금기혁,목,"액션, 드라마, 사건사고",국민청원을 해결하기 위한 특별직. 호연은 임무 수행 중 과거의 숨겨진 진실들을 알게 된다.,다음 웹툰
